LEY DE REPARACIÓN, LEY Nº19.992 (VALECH);;;;;;;;;;;
 Noviembre 2023;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;
;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna; Nº Hombre; Mto.Hombre;Nº Mujer; Mto.Mujer; Nº; Monto m$;;;
13;13103;CERRO NAVIA;107;27.145;20;4.567;127;31.712;;;
13;13104;CONCHALI;57;14.550;24;5.286;81;19.836;;;
13;13105;EL BOSQUE;59;15.041;37;8.172;96;23.213;;;
13;13106;ESTACION CENTRAL;232;59.488;140;31.672;372;91.160;;;
13;13107;HUECHURABA;32;8.094;14;3.244;46;11.338;;;
13;13108;INDEPENDENCIA;265;68.354;131;30.121;396;98.475;;;
13;13109;LA CISTERNA;84;21.758;33;7.450;117;29.209;;;
13;13110;LA FLORIDA;514;133.616;245;56.433;759;190.049;;;
13;13111;LA GRANJA;101;25.459;37;8.293;138;33.752;;;
13;13112;LA PINTANA;93;23.648;41;9.261;134;32.910;;;
13;13113;LA REINA;89;23.155;64;15.588;153;38.743;;;
13;13114;LAS CONDES;191;50.005;128;30.242;319;80.247;;;
13;13115;LO BARNECHEA;20;5.181;4;905;24;6.086;;;
13;13116;LO ESPEJO;60;15.320;39;8.592;99;23.912;;;
13;13117;LO PRADO;59;15.158;32;7.350;91;22.508;;;
13;13118;MACUL;94;24.136;55;13.106;149;37.242;;;
13;13119;MAIPU;461;118.969;229;51.851;690;170.820;;;
13;13120;ÑUÑOA;461;119.352;269;64.682;730;184.034;;;
13;13121;PEDRO AGUIRRE CERDA;163;41.031;85;19.417;248;60.447;;;
13;13122;PEÑALOLEN;151;38.795;78;18.460;229;57.255;;;
13;13123;PROVIDENCIA;229;59.777;139;33.762;368;93.538;;;
13;13124;PUDAHUEL;99;25.192;41;9.349;140;34.541;;;
13;13125;QUILICURA;52;13.195;19;4.318;71;17.513;;;
13;13126;QUINTA NORMAL;108;27.768;38;9.060;146;36.828;;;
13;13127;RECOLETA;68;17.417;38;8.946;106;26.362;;;
13;13128;RENCA;65;16.892;29;6.887;94;23.779;;;
13;13129;SAN JOAQUIN;77;19.764;43;9.729;120;29.493;;;
13;13130;SAN MIGUEL;454;117.034;178;40.216;632;157.250;;;
13;13131;SAN RAMON;58;14.990;32;7.113;90;22.103;;;
13;13132;VITACURA;21;5.528;20;4.616;41;10.144;;;
13;13201;PUENTE ALTO;512;131.682;228;50.873;740;182.555;;;
13;13202;PIRQUE;5;1.339;5;1.269;10;2.608;;;
13;13203;SAN JOSE DE MAIPO;11;2.850;10;2.227;21;5.077;;;
13;13301;COLINA;32;8.284;13;2.909;45;11.193;;;
